Episode	Run	N_clips	Valence_Spearman_r	Valence_Spearman_p	Valence_Mean_Diff	Valence_Abs_Diff_Mean	Valence_Agreement_1pt	Valence_Agreement_2pt	Valence_Rater1_Range	Valence_Rater2_Range	Valence_N_valid	Arousal_Spearman_r	Arousal_Spearman_p	Arousal_Mean_Diff	Arousal_Abs_Diff_Mean	Arousal_Agreement_1pt	Arousal_Agreement_2pt	Arousal_Rater1_Range	Arousal_Rater2_Range	Arousal_N_valid
1	1	334			1.089820359281437	1.089820359281437	65.26946107784431	88.02395209580838	5.0-5.0	1.0-5.0	334	0.17950227456167225	0.0009841185306413232	-1.3712574850299402	2.2754491017964074	38.32335329341318	62.874251497005986	3.0-5.0	1.0-10.0	334
1	2	276			0.26811594202898537	0.927536231884058	81.15942028985508	92.02898550724638	5.0-5.0	2.0-7.0	276			-0.6666666666666665	1.4275362318840579	59.42028985507246	84.42028985507247	3.0-3.0	1.0-7.0	276
1	3	275			1.0545454545454547	1.3454545454545455	64.72727272727272	86.9090909090909	5.0-5.0	1.0-7.0	275			-1.7854545454545452	2.3236363636363637	35.27272727272727	63.63636363636363	3.0-3.0	1.0-9.0	275
2	1	305			3.9540983606557374	3.954098360655738	0.32786885245901637	1.3114754098360655	1.0-7.0	1.0-1.0	305			-1.0262295081967214	1.0262295081967212	76.39344262295083	77.70491803278688	1.0-1.0	1.0-9.0	305
2	2	250	0.3128628794031861	4.676678195560634e-07	0.6666666666666661	0.7791164658634538	89.5582329317269	94.77911646586345	4.0-6.0	1.0-5.0	249	0.3272934445787716	1.2577925103042303e-07	2.4417670682730925	2.4738955823293174	10.040160642570282	46.58634538152611	3.0-5.0	1.0-5.0	249
2	3	362	0.18933464958539178	0.0002915455105408153	3.292817679558011	3.3756906077348066	4.696132596685083	19.060773480662984	3.0-9.0	1.0-7.0	362	0.052508588305715455	0.3191159508409859	-1.883977900552486	1.8839779005524862	54.14364640883977	58.011049723756905	1.0-3.0	1.0-9.0	362
2	4	354	0.012673740094273292	0.8121749312184565	3.8813559322033893	3.8813559322033897	0.5649717514124294	5.649717514124294	2.0-5.0	1.0-3.0	354			-0.7231638418079096	0.7231638418079096	83.89830508474576	84.4632768361582	1.0-1.0	1.0-8.0	354
2	5	295			4.0	4.0	0.0	0.0	5.0-5.0	1.0-1.0	295	0.2446314904719671	2.1513589946858016e-05	-0.9118644067796609	0.911864406779661	69.83050847457626	80.33898305084746	1.0-5.0	1.0-10.0	295
2	6	192	0.066365659311359	0.36040511862803126	3.630208333333334	3.671875	6.25	10.9375	3.0-5.0	1.0-6.0	192	0.410734789171083	3.2715454285908913e-09	-1.0520833333333333	1.0520833333333333	75.0	76.04166666666666	1.0-3.0	1.0-7.0	192
2	7	294	0.05936971207141033	0.3103265607283466	2.034013605442177	2.0340136054421767	45.57823129251701	52.721088435374156	1.0-5.0	1.0-3.0	294	0.351330195477183	5.752672996704736e-10	1.2278911564625852	1.9149659863945578	53.06122448979592	72.78911564625851	1.0-9.0	1.0-10.0	294
