Episode,N_clips,Valence_ICC,Valence_ICC_CI_Lower,Valence_ICC_CI_Upper,Valence_ICC_pval,Valence_Spearman_r,Valence_Spearman_pval,Arousal_ICC,Arousal_ICC_CI_Lower,Arousal_ICC_CI_Upper,Arousal_ICC_pval,Arousal_Spearman_r,Arousal_Spearman_pval
1,885,-1.4767746144187326e-16,-0.05,0.05,0.5000000000000016,,,0.014801413593807856,-0.04,0.07,0.2794443680564916,0.1316356041882129,8.580170679154315e-05
2,2052,0.06390340867260547,0.02,0.12,0.00018655657894947608,0.31053022234291755,4.3191736610413455e-47,0.046358483153424494,0.01,0.09,4.634127001224761e-05,0.02401313309730934,0.27703692138995
3,1940,0.13321864754836582,0.09,0.18,7.982200516078142e-10,0.17481976867977128,8.986118901793727e-15,0.04377259372680363,-0.03,0.16,4.673930674826922e-51,0.2737592249852518,1.0836320719061938e-34
4,1460,0.015357643969873373,-0.02,0.05,0.035518835068729306,-0.0023333331016674895,0.9290181004978987,0.2180628601414469,-0.08,0.47,2.707404593822722e-67,0.3904219503453014,2.3284713736761074e-54
