Emotion,ICC,CI_Lower,CI_Upper,F_statistic,p_value,N_datapoints
Valence,0.06390340867260547,0.02,0.12,1.7431059506531206,0.00018655657894947608,14003
Arousal,0.046358483153424494,0.01,0.09,1.8354598421712514,4.634127001224761e-05,14004
