participant_id	emotion	term	coef	pval
sub-Blossom	valence	Intercept	0.0932525541661577	0.9885039755814178
sub-Blossom	valence	CAP_positive	0.654611429956197	0.6057277186220055
sub-Blossom	valence	CAP_negative	-3.1042507968069724	0.021857190487222792
sub-Blossom	valence	framewise_displacement	-1.437387787043234	0.1370727685913096
sub-Blossom	valence	hormone	0.0008718713197732125	0.9950836904808419
sub-Blossom	valence	CAP_positive:hormone	0.003133096631575025	0.9098401457811074
sub-Blossom	valence	CAP_negative:hormone	0.06437151591584193	0.02885275999005301
sub-Blossom	arousal	Intercept	0.01311592741531628	0.9984099656308586
sub-Blossom	arousal	CAP_positive	0.21148525039802307	0.8697427875079582
sub-Blossom	arousal	CAP_negative	-3.786934781776202	0.00595054935216465
sub-Blossom	arousal	framewise_displacement	-0.2021679089744068	0.8370782760997657
sub-Blossom	arousal	hormone	0.00012262828667185892	0.9993200358631427
sub-Blossom	arousal	CAP_positive:hormone	0.010755059785464136	0.702277307875243
sub-Blossom	arousal	CAP_negative:hormone	0.08445758409859289	0.004807134034257523
sub-Bubbles	valence	Intercept	6.930490086381123e-16	0.9999999999999989
sub-Bubbles	valence	CAP_positive	1.3767924201477073	0.15993054434799947
sub-Bubbles	valence	CAP_negative	-1.1187488009783308	0.25554650386485245
sub-Bubbles	valence	framewise_displacement	0.11891308296782584	0.9196926945407056
sub-Bubbles	valence	hormone	1.727313182921648e-13	0.9999999999704745
sub-Bubbles	valence	CAP_positive:hormone	-0.005680184278845796	0.5485747833679676
sub-Bubbles	valence	CAP_negative:hormone	0.011334256983169508	0.23839795757296434
sub-Bubbles	arousal	Intercept	0.3153295347570564	0.5552499417487946
sub-Bubbles	arousal	CAP_positive	1.814957972891332	0.07531982446014057
sub-Bubbles	arousal	CAP_negative	-0.26662076771968946	0.7947581138230932
sub-Bubbles	arousal	framewise_displacement	-2.210417256099958	0.0719023117557568
sub-Bubbles	arousal	hormone	-0.0011420374875230704	0.8188979492427116
sub-Bubbles	arousal	CAP_positive:hormone	-0.012553037496092637	0.20309843763347524
sub-Bubbles	arousal	CAP_negative:hormone	0.0030215053477399187	0.7628507053479354
sub-Buttercup	valence	Intercept	0.8626436921813757	0.8496066563030577
sub-Buttercup	valence	CAP_positive	4.339941473838987	0.5954522369293214
sub-Buttercup	valence	CAP_negative	22.318728729948138	0.05812996242490921
sub-Buttercup	valence	framewise_displacement	-2.7832186767327753	0.025703564045565338
sub-Buttercup	valence	hormone	-0.01254180066230633	0.8930032520811408
sub-Buttercup	valence	CAP_positive:hormone	-0.07675698692532809	0.64776770227573
sub-Buttercup	valence	CAP_negative:hormone	-0.4513693197955855	0.061488197359925764
sub-Buttercup	arousal	Intercept	-5.846370619135951e-06	0.99999891558078
sub-Buttercup	arousal	CAP_positive	1.6517597581790469	0.8317052652680244
sub-Buttercup	arousal	CAP_negative	20.112582636279882	0.07255511198675231
sub-Buttercup	arousal	framewise_displacement	0.8729359283883595	0.4618718467319367
sub-Buttercup	arousal	hormone	0.0014069038086488295	0.9872864948164349
sub-Buttercup	arousal	CAP_positive:hormone	-0.014529779322074998	0.9275325921744625
sub-Buttercup	arousal	CAP_negative:hormone	-0.41202316819650964	0.07263327830990855
