cap	metric	character	coefficient	p_value	model_type	n_obs
CAP_4	frequency_pct	dusty	15.496869219387934	0.34202199553717694	LME	6
CAP_4	frequency_pct	nancy	-10.713625814336936	0.2193773999253198	LME	6
CAP_4	frequency_pct	steve	-3.0900654209734864	0.7514899475140691	LME	6
CAP_4	avg_dwell_time	dusty	5.660957663014373	0.2927977810878907	LME	6
CAP_4	avg_dwell_time	nancy	-4.383875804973829	3.32641041745396e-05	LME	6
CAP_4	avg_dwell_time	steve	-1.9968932336285548	0.6034862546213178	LME	6
CAP_3	frequency_pct	dusty	-29.668288255469022	0.15239410808951082	LME	6
CAP_3	frequency_pct	nancy	20.818567649114268	0.0024188738341952253	LME	6
CAP_3	frequency_pct	steve	6.483814461705726	0.7329084842464948	LME	6
CAP_3	avg_dwell_time	dusty	3.257038118108429	0.624336461067448	LME	6
CAP_3	avg_dwell_time	nancy	0.29143306806074115	0.9455305551620743	LME	6
CAP_3	avg_dwell_time	steve	4.04560979130582	0.02035744679343268	LME	6
CAP_2	frequency_pct	dusty	-15.300174394288087	0.36273252728066063	LME	6
CAP_2	frequency_pct	nancy	2.7974492408015292	0.8272919746189622	LME	6
CAP_2	frequency_pct	steve	-11.312589210830497	0.22453930555693136	LME	6
CAP_2	avg_dwell_time	dusty	-3.8926882373798715	0.5622442973125051	LME	6
CAP_2	avg_dwell_time	nancy	1.6334059345932657	0.679662549403372	LME	6
CAP_2	avg_dwell_time	steve	-1.1766071456215421	0.7590815868637528	LME	6
CAP_1	frequency_pct	dusty	-33.581229304091494	0.017489517755962684	LME	6
CAP_1	frequency_pct	nancy	20.87017260534659	6.421027669713731e-06	LME	6
CAP_1	frequency_pct	steve	2.365148636233768	0.9061931923671428	LME	6
CAP_1	avg_dwell_time	dusty	4.520809796635606	0.20278550644406756	LME	6
CAP_1	avg_dwell_time	nancy	-1.4964355076235538	0.5691147823018932	LME	6
CAP_1	avg_dwell_time	steve	2.105914228456397	0.2928829942422083	LME	6
