cap	metric	character	coefficient	p_value	model_type	n_obs
CAP_4	frequency_pct	dusty	5.410938923455065	0.6872620858377763	LME	6
CAP_4	frequency_pct	nancy	-30.99373843877477	0.3420219955372018	LME	6
CAP_4	frequency_pct	steve	-10.3312461462586	0.3420219955371778	LME	6
CAP_4	avg_dwell_time	dusty	3.1857411227693824	0.5215935948325929	LME	6
CAP_4	avg_dwell_time	nancy	-11.321915326028487	0.29279778108789956	LME	6
CAP_4	avg_dwell_time	steve	-3.7739717753428743	0.29279778108789634	LME	6
CAP_3	frequency_pct	dusty	-11.150190732766537	0.6553831741465572	LME	6
CAP_3	frequency_pct	nancy	59.336576510938244	0.15239410808950493	LME	6
CAP_3	frequency_pct	steve	19.778858836979406	0.1523941080895112	LME	6
CAP_3	avg_dwell_time	dusty	-5.402310915168197	0.03136535123466733	LME	6
CAP_3	avg_dwell_time	nancy	-6.514076236217066	0.6243364610674444	LME	6
CAP_3	avg_dwell_time	steve	-2.1713587454056005	0.6243364610674496	LME	6
CAP_2	frequency_pct	dusty	14.663951086921871	0.24374529937759026	LME	6
CAP_2	frequency_pct	nancy	30.60034878857676	0.36273252728053074	LME	6
CAP_2	frequency_pct	steve	10.200116262858698	0.3627325272806309	LME	6
CAP_2	avg_dwell_time	dusty	1.3607965073028694	0.8013644965698231	LME	6
CAP_2	avg_dwell_time	nancy	7.785376474760036	0.5622442973124964	LME	6
CAP_2	avg_dwell_time	steve	2.5951254915866073	0.5622442973125014	LME	6
CAP_1	frequency_pct	dusty	-5.692973407903672	0.832674652482692	LME	6
CAP_1	frequency_pct	nancy	67.16245860818277	0.01748951775596345	LME	6
CAP_1	frequency_pct	steve	22.387486202727594	0.017489517755963257	LME	6
CAP_1	avg_dwell_time	dusty	-2.6103226898760137	0.38069966557413903	LME	6
CAP_1	avg_dwell_time	nancy	-9.0416195932714	0.20278550644406934	LME	6
CAP_1	avg_dwell_time	steve	-3.013873197757077	0.20278550644406446	LME	6
