cap	metric	character	weight_type	r	p	n
CAP_4	frequency_pct	dusty	arousal	0.3850049386451552	0.748399479329947	3
CAP_4	frequency_pct	nancy	arousal	-0.8335249655788065	0.37263823899372994	3
CAP_4	frequency_pct	steve	arousal	-0.8335249655788066	0.3726382389937297	3
CAP_4	avg_dwell_time	dusty	arousal	0.5395778285301687	0.6371677285643927	3
CAP_4	avg_dwell_time	nancy	arousal	-0.7247938456272079	0.48386998975928414	3
CAP_4	avg_dwell_time	steve	arousal	-0.724793845627208	0.4838699897592839	3
CAP_4	transitions_out	dusty	arousal	-0.3592106040535498	0.7660919507180788	3
CAP_4	transitions_out	nancy	arousal	-0.9843241382880896	0.11287033095824399	3
CAP_4	transitions_out	steve	arousal	-0.9843241382880896	0.11287033095824399	3
CAP_4	transition_rate	dusty	arousal	-0.6018398064154559	0.5888691330681292	3
CAP_4	transition_rate	nancy	arousal	-0.8979631953522063	0.2900931486081944	3
CAP_4	transition_rate	steve	arousal	-0.8979631953522064	0.2900931486081944	3
CAP_3	frequency_pct	dusty	arousal	-0.407540811169041	0.732772825115783	3
CAP_3	frequency_pct	nancy	arousal	0.8197138531921456	0.38826489320789387	3
CAP_3	frequency_pct	steve	arousal	0.8197138531921456	0.38826489320789387	3
CAP_3	avg_dwell_time	dusty	arousal	-0.9650246971468486	0.16886897088345212	3
CAP_3	avg_dwell_time	nancy	arousal	-0.43980753920772375	0.710093310792871	3
CAP_3	avg_dwell_time	steve	arousal	-0.43980753920772375	0.710093310792871	3
CAP_3	transitions_out	dusty	arousal	-0.10631081389064055	0.9321922954661525	3
CAP_3	transitions_out	nancy	arousal	0.9563247157871202	0.18884542285752456	3
CAP_3	transitions_out	steve	arousal	0.9563247157871203	0.18884542285752456	3
CAP_3	transition_rate	dusty	arousal	0.5903012777011403	0.5980178811646366	3
CAP_3	transition_rate	nancy	arousal	0.9041944301794651	0.2809444005116865	3
CAP_3	transition_rate	steve	arousal	0.9041944301794651	0.2809444005116865	3
CAP_2	frequency_pct	dusty	arousal	0.8534191100255093	0.3490497637612988	3
CAP_2	frequency_pct	nancy	arousal	0.6731141446993801	0.5299125179150245	3
CAP_2	frequency_pct	steve	arousal	0.6731141446993801	0.5299125179150245	3
CAP_2	avg_dwell_time	dusty	arousal	0.445495425386305	0.7060551078398457	3
CAP_2	avg_dwell_time	nancy	arousal	0.963342368538983	0.1729071738364778	3
CAP_2	avg_dwell_time	steve	arousal	0.963342368538983	0.1729071738364778	3
CAP_2	transitions_out	dusty	arousal	0.9905360646879091	0.08765447833608711	3
CAP_2	transitions_out	nancy	arousal	0.05241424183609589	0.9666167600124104	3
CAP_2	transitions_out	steve	arousal	0.05241424183609593	0.9666167600124103	3
CAP_2	transition_rate	dusty	arousal	0.7496300196080092	0.46046289770705096	3
CAP_2	transition_rate	nancy	arousal	-0.5082640218985972	0.6605748206166259	3
CAP_2	transition_rate	steve	arousal	-0.5082640218985972	0.6605748206166259	3
CAP_1	frequency_pct	dusty	arousal	-0.2067070226356788	0.8674506132013975	3
CAP_1	frequency_pct	nancy	arousal	0.9217086054168622	0.253587105122279	3
CAP_1	frequency_pct	steve	arousal	0.9217086054168623	0.253587105122279	3
CAP_1	avg_dwell_time	dusty	arousal	-0.6591878660558091	0.5418003975800242	3
CAP_1	avg_dwell_time	nancy	arousal	-0.8630028245897436	0.3371618840962993	3
CAP_1	avg_dwell_time	steve	arousal	-0.8630028245897436	0.3371618840962993	3
CAP_1	transitions_out	dusty	arousal	-0.9989061072386718	0.029779821637699107	3
CAP_1	transitions_out	nancy	arousal	-0.14285714285714288	0.9087421033140203	3
CAP_1	transitions_out	steve	arousal	-0.14285714285714285	0.9087421033140203	3
CAP_1	transition_rate	dusty	arousal	-0.5244899134712324	0.6485121019494902	3
CAP_1	transition_rate	nancy	arousal	-0.9351938405325048	0.23045017972683296	3
CAP_1	transition_rate	steve	arousal	-0.9351938405325048	0.23045017972683296	3
