cap	metric	emotion_dimension	r	p_value	n	significant	effect_size	is_dwell_metric	metric_mean	metric_std	emotion_mean	emotion_std
CAP_1	frequency_pct	valence	0.17643337849947036	0.2636917222807665	42	False	small	False	14.285714285714286	35.41688016605732	4.695592378055386	1.7017438427000358
CAP_1	frequency_pct	arousal	0.010607235054871215	0.9468444277400245	42	False	negligible	False	14.285714285714286	35.41688016605732	3.9047922202714243	1.6495858578606433
CAP_1	frequency_pct	valence_t	0.17643337849947033	0.2636917222807665	42	False	small	False	14.285714285714286	35.41688016605732	50.0	10.121216546949475
CAP_1	frequency_pct	arousal_t	0.010607235054871269	0.9468444277400238	42	False	negligible	False	14.285714285714286	35.41688016605732	50.0	10.121216546949478
CAP_1	avg_dwell_time	valence	0.17643337849947033	0.2636917222807665	42	False	small	True	0.14285714285714285	0.3541688016605732	4.695592378055386	1.7017438427000358
CAP_1	avg_dwell_time	arousal	0.010607235054871253	0.9468444277400245	42	False	negligible	True	0.14285714285714285	0.3541688016605732	3.9047922202714243	1.6495858578606433
CAP_1	avg_dwell_time	valence_t	0.17643337849947033	0.2636917222807665	42	False	small	True	0.14285714285714285	0.3541688016605732	50.0	10.121216546949475
CAP_1	avg_dwell_time	arousal_t	0.010607235054871307	0.9468444277400238	42	False	negligible	True	0.14285714285714285	0.3541688016605732	50.0	10.121216546949478
CAP_1	max_dwell_time	valence	0.17643337849947033	0.2636917222807665	42	False	small	True	0.14285714285714285	0.3541688016605732	4.695592378055386	1.7017438427000358
CAP_1	max_dwell_time	arousal	0.010607235054871253	0.9468444277400245	42	False	negligible	True	0.14285714285714285	0.3541688016605732	3.9047922202714243	1.6495858578606433
CAP_1	max_dwell_time	valence_t	0.17643337849947033	0.2636917222807665	42	False	small	True	0.14285714285714285	0.3541688016605732	50.0	10.121216546949475
CAP_1	max_dwell_time	arousal_t	0.010607235054871307	0.9468444277400238	42	False	negligible	True	0.14285714285714285	0.3541688016605732	50.0	10.121216546949478
CAP_1	std_dwell_time	valence			42	False	large	True	0.0	0.0	4.695592378055386	1.7017438427000358
CAP_1	std_dwell_time	arousal			42	False	large	True	0.0	0.0	3.9047922202714243	1.6495858578606433
CAP_1	std_dwell_time	valence_t			42	False	large	True	0.0	0.0	50.0	10.121216546949475
CAP_1	std_dwell_time	arousal_t			42	False	large	True	0.0	0.0	50.0	10.121216546949478
CAP_1	total_dwell_time	valence	0.17643337849947033	0.2636917222807665	42	False	small	True	0.14285714285714285	0.3541688016605732	4.695592378055386	1.7017438427000358
CAP_1	total_dwell_time	arousal	0.010607235054871253	0.9468444277400245	42	False	negligible	True	0.14285714285714285	0.3541688016605732	3.9047922202714243	1.6495858578606433
CAP_1	total_dwell_time	valence_t	0.17643337849947033	0.2636917222807665	42	False	small	True	0.14285714285714285	0.3541688016605732	50.0	10.121216546949475
CAP_1	total_dwell_time	arousal_t	0.010607235054871307	0.9468444277400238	42	False	negligible	True	0.14285714285714285	0.3541688016605732	50.0	10.121216546949478
CAP_1	avg_dwell_time_sec	valence	0.17643337849947033	0.2636917222807665	42	False	small	True	0.21428571428571427	0.5312532024908597	4.695592378055386	1.7017438427000358
CAP_1	avg_dwell_time_sec	arousal	0.010607235054871253	0.9468444277400245	42	False	negligible	True	0.21428571428571427	0.5312532024908597	3.9047922202714243	1.6495858578606433
CAP_1	avg_dwell_time_sec	valence_t	0.17643337849947033	0.2636917222807665	42	False	small	True	0.21428571428571427	0.5312532024908597	50.0	10.121216546949475
