cap	metric	emotion_dimension	r	p	n
CAP_2	frequency_pct	valence	-0.8273111828040921	0.37973873218654663	3
CAP_2	frequency_pct	arousal	-0.9684633771952961	0.1603063471192419	3
CAP_2	avg_dwell_time	valence	0.23108809404878117	0.8515428794646432	3
CAP_2	avg_dwell_time	arousal	0.882662268398296	0.31149780015885414	3
CAP_2	transitions_out	valence	-0.07737754616174572	0.9506906355805028	3
CAP_2	transitions_out	arousal	-0.7990753988655949	0.41064555627471355	3
CAP_2	transition_rate	valence	0.7903937069385812	0.41975200832294496	3
CAP_2	transition_rate	arousal	0.06310862139312999	0.9597970876287338	3
CAP_4	frequency_pct	valence	-0.4021400151700469	0.7365330055553089	3
CAP_4	frequency_pct	arousal	-0.9527468054825701	0.19648792624951958	3
CAP_4	avg_dwell_time	valence	-0.0704592951905139	0.955107021861683	3
CAP_4	avg_dwell_time	arousal	-0.7948853199541225	0.4150619425558936	3
CAP_4	transitions_out	valence	-0.15202785223784354	0.9028393122971535	3
CAP_4	transitions_out	arousal	-0.8419679647668539	0.3627942329913642	3
CAP_4	transition_rate	valence	-0.4630474274303145	0.6935119119043616	3
CAP_4	transition_rate	arousal	0.3586959138047986	0.7664430087898497	3
CAP_1	frequency_pct	valence	-0.49290275004235073	0.6718716651634449	3
CAP_1	frequency_pct	arousal	-0.9786369446432311	0.1318265858576564	3
CAP_1	avg_dwell_time	valence	-0.7989739314465318	0.41075298410407607	3
CAP_1	avg_dwell_time	arousal	-0.07720930374839804	0.9507980634098651	3
CAP_1	transitions_out	valence	-0.2036238688330012	0.8694560723095636	3
CAP_1	transitions_out	arousal	-0.8690895459201917	0.3294109930037745	3
CAP_1	transition_rate	valence	0.7218481866039249	0.48658575878976007	3
CAP_1	transition_rate	arousal	0.9964762798737958	0.053459320516028065	3
CAP_3	frequency_pct	valence	-0.7305350298619248	0.47854148596543394	3
CAP_3	frequency_pct	arousal	0.02919156094717439	0.9814134347287772	3
CAP_3	avg_dwell_time	valence	0.5483409846321936	0.6305192014707248	3
CAP_3	avg_dwell_time	arousal	-0.2647279011211903	0.8294357192234865	3
CAP_3	transitions_out	valence	0.9742036157444783	0.14491474894450745	3
CAP_3	transitions_out	arousal	0.8134894041187638	0.3951303303612821	3
CAP_3	transition_rate	valence	0.9642664843330361	0.17070049866547188	3
CAP_3	transition_rate	arousal	0.4388871423693504	0.710745577971261	3
CAP_5	frequency_pct	valence	-0.9524725009806353	0.19706199095522745	3
CAP_5	frequency_pct	arousal	-0.8583473075191631	0.34298308835056207	3
CAP_5	avg_dwell_time	valence	0.5652930386723594	0.6175261898725974	3
CAP_5	avg_dwell_time	arousal	-0.2449929014363115	0.8424287308216138	3
CAP_5	transitions_out	valence	-0.27642275463335403	0.8217020110679035	3
CAP_5	transitions_out	arousal	0.5381418829981028	0.6382529096263077	3
CAP_5	transition_rate	valence	0.23686184750834674	0.8477622470633425	3
CAP_5	transition_rate	arousal	0.8854378774921383	0.30771716775755337	3
