cap	metric	character	weight_type	r	p	n
CAP_2	frequency_pct	dusty	arousal	0.9515532278497207	0.19897415804904367	3
CAP_2	frequency_pct	nancy	arousal	-0.12211670753233891	0.9220635602746333	3
CAP_2	frequency_pct	steve	arousal	-0.12211670753233893	0.9220635602746333	3
CAP_2	avg_dwell_time	dusty	arousal	0.9650384769430841	0.16883550516202506	3
CAP_2	avg_dwell_time	nancy	arousal	-0.07501006847643367	0.9522022131616525	3
CAP_2	avg_dwell_time	steve	arousal	-0.0750100684764337	0.9522022131616525	3
CAP_2	transitions_out	dusty	arousal	0.917662935482247	0.2601469382930061	3
CAP_2	transitions_out	nancy	arousal	-0.21677749238103003	0.8608907800306709	3
CAP_2	transitions_out	steve	arousal	-0.21677749238103006	0.8608907800306709	3
CAP_2	transition_rate	dusty	arousal	0.5369968012627614	0.639117431566824	3
CAP_2	transition_rate	nancy	arousal	-0.7269004605005989	0.481920286756853	3
CAP_2	transition_rate	steve	arousal	-0.726900460500599	0.4819202867568528	3
CAP_3	frequency_pct	dusty	arousal	-0.20418891939740758	0.8690886301249978	3
CAP_3	frequency_pct	nancy	arousal	0.9227035728698066	0.25194908819867917	3
CAP_3	frequency_pct	steve	arousal	0.9227035728698068	0.2519490881986788	3
CAP_3	avg_dwell_time	dusty	arousal	0.6896389583865522	0.5155384879103415	3
CAP_3	avg_dwell_time	nancy	arousal	0.841434008047514	0.36342379376598183	3
CAP_3	avg_dwell_time	steve	arousal	0.8414340080475141	0.3634237937659815	3
CAP_3	transitions_out	dusty	arousal	0.1889822365046136	0.8789622816763233	3
CAP_3	transitions_out	nancy	arousal	1.0	0.0	3
CAP_3	transitions_out	steve	arousal	1.0	0.0	3
CAP_3	transition_rate	dusty	arousal	0.956268650877273	0.18896748942020444	3
CAP_3	transition_rate	nancy	arousal	0.4679370437172838	0.6899947922561187	3
CAP_3	transition_rate	steve	arousal	0.46793704371728384	0.6899947922561187	3
CAP_1	frequency_pct	dusty	arousal	-0.8407568196471228	0.3642208399808151	3
CAP_1	frequency_pct	nancy	arousal	0.3727688474224516	0.7568168783428619	3
CAP_1	frequency_pct	steve	arousal	0.3727688474224517	0.7568168783428617	3
CAP_1	avg_dwell_time	dusty	arousal	-0.9423282046237855	0.21726336139190774	3
CAP_1	avg_dwell_time	nancy	arousal	0.15057599671227007	0.9037743569317691	3
CAP_1	avg_dwell_time	steve	arousal	0.15057599671227004	0.9037743569317691	3
CAP_1	transitions_out	dusty	arousal	0.1889822365046136	0.8789622816763233	3
CAP_1	transitions_out	nancy	arousal	1.0	0.0	3
CAP_1	transitions_out	steve	arousal	1.0	0.0	3
CAP_1	transition_rate	dusty	arousal	0.8183844050867309	0.389740088951134	3
CAP_1	transition_rate	nancy	arousal	0.7189760116811258	0.48922219272518924	3
CAP_1	transition_rate	steve	arousal	0.7189760116811259	0.48922219272518924	3
CAP_5	frequency_pct	dusty	arousal	0.12388393393565751	0.9209299005518465	3
CAP_5	frequency_pct	nancy	arousal	-0.951004167611967	0.20010781777182968	3
CAP_5	frequency_pct	steve	arousal	-0.951004167611967	0.20010781777182968	3
CAP_5	avg_dwell_time	dusty	arousal	0.9593693251203708	0.18209737687396618	3
CAP_5	avg_dwell_time	nancy	arousal	0.4583728241901937	0.6968649048023573	3
CAP_5	avg_dwell_time	steve	arousal	0.4583728241901937	0.6968649048023573	3
CAP_5	transitions_out	dusty	arousal	0.9912407071619302	0.08432321632194426	3
CAP_5	transitions_out	nancy	arousal	0.05763904177042348	0.963285497998267	3
CAP_5	transitions_out	steve	arousal	0.05763904177042346	0.963285497998267	3
CAP_5	transition_rate	dusty	arousal	0.984825143870518	0.11104733554857855	3
CAP_5	transition_rate	nancy	arousal	0.3565367040371018	0.7679149461277445	3
CAP_5	transition_rate	steve	arousal	0.35653670403710186	0.7679149461277444	3
CAP_4	frequency_pct	dusty	arousal	0.48721197313765113	0.6760278133973572	3
CAP_4	frequency_pct	nancy	arousal	0.9496220187847004	0.202934468278966	3
CAP_4	frequency_pct	steve	arousal	0.9496220187847004	0.202934468278966	3
CAP_4	avg_dwell_time	dusty	arousal	0.9980798982220692	0.039457245224327496	3
CAP_4	avg_dwell_time	nancy	arousal	0.2494428726659383	0.839505036451995	3
CAP_4	avg_dwell_time	steve	arousal	0.24944287266593831	0.839505036451995	3
CAP_4	transitions_out	dusty	arousal	0.8751857342005339	0.3214781685189044	3
CAP_4	transitions_out	nancy	arousal	0.6404640308067906	0.5574841131574191	3
CAP_4	transitions_out	steve	arousal	0.6404640308067906	0.5574841131574191	3
CAP_4	transition_rate	dusty	arousal	0.9619497329179822	0.17618168896856237	3
CAP_4	transition_rate	nancy	arousal	0.45009449256440204	0.7027805927077612	3
CAP_4	transition_rate	steve	arousal	0.4500944925644021	0.7027805927077612	3
