cap	metric	character	coefficient	p_value	model_type	n_obs
CAP_2	frequency_pct	dusty	2.437868104417696	0.9063604238776818	LME	6
CAP_2	frequency_pct	nancy	-6.938747995700928	0.5769140430409794	LME	6
CAP_2	frequency_pct	steve	-10.184599879613424	0.30755853081589235	LME	6
CAP_2	avg_dwell_time	dusty	0.7013684542199167	0.9400380143407834	LME	6
CAP_2	avg_dwell_time	nancy	-3.0422860405408314	0.4951109023723942	LME	6
CAP_2	avg_dwell_time	steve	-4.861208201069312	0.01327023082774987	LME	6
CAP_3	frequency_pct	dusty	-23.838548539798307	0.26791510302558585	LME	6
CAP_3	frequency_pct	nancy	14.794439847647459	0.2221028740880372	LME	6
CAP_3	frequency_pct	steve	1.6405289835664603	0.9082613893536605	LME	6
CAP_3	avg_dwell_time	dusty	-10.357122858375284	0.11943014687211302	LME	6
CAP_3	avg_dwell_time	nancy	3.258515806219818	0.6058832578068436	LME	6
CAP_3	avg_dwell_time	steve	-5.138103128305975	0.25316090509491773	LME	6
CAP_1	frequency_pct	dusty	-5.32553674675248	0.702048852194574	LME	6
CAP_1	frequency_pct	nancy	6.489655645282421	0.4445347147289068	LME	6
CAP_1	frequency_pct	steve	6.245709310172674	0.44378403342402684	LME	6
CAP_1	avg_dwell_time	dusty	-0.5456362461233698	0.9250608191700025	LME	6
CAP_1	avg_dwell_time	nancy	1.3069519925596527	0.6520136200832078	LME	6
CAP_1	avg_dwell_time	steve	1.8252261827465004	0.4853812127136853	LME	6
CAP_5	frequency_pct	dusty	23.708815962729407	0.002098443842586753	LME	6
CAP_5	frequency_pct	nancy	-14.079487268656559	2.493582342231993e-06	LME	6
CAP_5	frequency_pct	steve	-0.4603285361189775	0.9734299256587227	LME	6
CAP_5	avg_dwell_time	dusty	-1.185658068611011	0.7918820584663239	LME	6
CAP_5	avg_dwell_time	nancy	-0.07081390997455057	0.9783953315830649	LME	6
CAP_5	avg_dwell_time	steve	-1.4075959076879467	0.546276088269624	LME	6
CAP_4	frequency_pct	dusty	-9.132147021918435	0.4542706196307058	LME	6
CAP_4	frequency_pct	nancy	3.6960578179589887	0.6238683162002063	LME	6
CAP_4	frequency_pct	steve	-3.0111285135263546	0.6780063437247221	LME	6
CAP_4	avg_dwell_time	dusty	-1.1612129224100838	0.8500933704333308	LME	6
CAP_4	avg_dwell_time	nancy	-0.7207618176453894	0.8391783193551524	LME	6
CAP_4	avg_dwell_time	steve	-2.58117419517154	0.3519419905175266	LME	6
