index,valence_1,valence_2,arousal_1,arousal_2
S01E04R05_clip0000,2,3,2,4
S01E04R05_clip0001,2,3,2,4
S01E04R05_clip0002,2,3,2,4
S01E04R05_clip0003,2,3,2,4
S01E04R05_clip0004,2,3,2,4
S01E04R05_clip0005,2,3,2,4
S01E04R05_clip0006,2,3,2,4
S01E04R05_clip0007,2,3,2,4
S01E04R05_clip0008,2,3,2,4
S01E04R05_clip0009,2,3,2,4
S01E04R05_clip0010,2,3,2,5
S01E04R05_clip0011,2,3,2,5
S01E04R05_clip0012,2,3,2,5
S01E04R05_clip0013,2,3,2,5
S01E04R05_clip0014,2,3,2,5
S01E04R05_clip0015,2,3,2,5
S01E04R05_clip0016,2,3,2,5
S01E04R05_clip0017,2,3,2,5
S01E04R05_clip0018,2,3,2,5
S01E04R05_clip0019,2,3,2,5
S01E04R05_clip0020,2,3,2,5
S01E04R05_clip0021,2,3,2,5
S01E04R05_clip0022,2,3,2,5
S01E04R05_clip0023,2,3,2,5
S01E04R05_clip0024,2,3,2,5
S01E04R05_clip0025,2,3,2,5
S01E04R05_clip0026,2,3,2,5
S01E04R05_clip0027,2,3,2,5
S01E04R05_clip0028,2,3,2,5
S01E04R05_clip0029,2,4,2,5
S01E04R05_clip0030,2,4,2,5
S01E04R05_clip0031,2,4,2,5
S01E04R05_clip0032,2,4,2,5
S01E04R05_clip0033,2,4,2,5
S01E04R05_clip0034,2,4,2,5
S01E04R05_clip0035,2,4,2,5
S01E04R05_clip0036,2,4,2,5
S01E04R05_clip0037,2,4,2,5
S01E04R05_clip0038,2,4,2,5
S01E04R05_clip0039,2,4,2,5
S01E04R05_clip0040,2,4,2,5
S01E04R05_clip0041,2,4,2,5
S01E04R05_clip0042,2,4,2,5
S01E04R05_clip0043,2,4,2,5
S01E04R05_clip0044,2,4,2,5
S01E04R05_clip0045,2,4,2,5
S01E04R05_clip0046,2,4,2,5
S01E04R05_clip0047,2,4,2,5
S01E04R05_clip0048,2,4,2,5
S01E04R05_clip0049,2,4,2,5
S01E04R05_clip0050,2,4,2,5
S01E04R05_clip0051,2,4,2,5
S01E04R05_clip0052,2,4,2,5
S01E04R05_clip0053,2,4,2,5
S01E04R05_clip0054,2,4,2,5
S01E04R05_clip0055,2,4,2,5
S01E04R05_clip0056,2,4,2,5
S01E04R05_clip0057,2,4,2,6
S01E04R05_clip0058,2,4,2,6
S01E04R05_clip0059,2,4,2,6
S01E04R05_clip0060,2,4,2,6
S01E04R05_clip0061,2,4,2,5
S01E04R05_clip0062,2,4,2,5
S01E04R05_clip0063,2,4,2,5
S01E04R05_clip0064,2,4,2,5
S01E04R05_clip0065,2,4,2,5
S01E04R05_clip0066,2,4,2,5
S01E04R05_clip0067,2,4,2,6
S01E04R05_clip0068,2,4,2,6
S01E04R05_clip0069,2,4,2,6
S01E04R05_clip0070,2,4,2,6
S01E04R05_clip0071,2,4,2,6
S01E04R05_clip0072,2,4,2,6
S01E04R05_clip0073,2,4,2,6
S01E04R05_clip0074,2,4,2,6
S01E04R05_clip0075,2,4,2,6
S01E04R05_clip0076,2,4,2,6
S01E04R05_clip0077,2,4,2,6
S01E04R05_clip0078,2,4,2,6
S01E04R05_clip0079,2,4,2,6
S01E04R05_clip0080,2,4,2,6
S01E04R05_clip0081,2,4,2,6
S01E04R05_clip0082,2,4,3,6
S01E04R05_clip0083,2,4,3,6
S01E04R05_clip0084,2,4,3,6
S01E04R05_clip0085,2,4,3,7
S01E04R05_clip0086,2,5,3,7
S01E04R05_clip0087,2,5,2,4
S01E04R05_clip0088,2,5,2,4
S01E04R05_clip0089,2,5,2,4
S01E04R05_clip0090,2,5,2,4
S01E04R05_clip0091,2,5,2,4
S01E04R05_clip0092,2,5,2,4
S01E04R05_clip0093,2,5,2,4
S01E04R05_clip0094,2,5,2,4
S01E04R05_clip0095,2,5,2,4
S01E04R05_clip0096,2,5,2,4
S01E04R05_clip0097,2,5,2,4
S01E04R05_clip0098,2,5,2,4
S01E04R05_clip0099,2,5,2,4
S01E04R05_clip0100,2,5,2,4
