run,index,valence_1,valence_2,valence_3,valence_4,valence_5,valence_6,valence_7,valence_8,arousal_1,arousal_2,arousal_3,arousal_4,arousal_5,arousal_6,arousal_7,arousal_8
S01E02R01,S01E02R01_clip0035,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0036,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0037,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0038,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0039,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0040,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0041,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0042,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0043,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0044,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0045,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0046,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0047,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0048,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0049,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0050,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0051,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0052,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0053,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0054,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0055,5.0,1.0,,,,,,,1.0,1.0,,,,,,
