index,valence_1,valence_2,arousal_1,arousal_2
S01E04R03_clip0000,2.0,5.0,2.0,3.0
S01E04R03_clip0001,2.0,5.0,2.0,3.0
S01E04R03_clip0002,2.0,5.0,2.0,3.0
S01E04R03_clip0003,2.0,5.0,2.0,3.0
S01E04R03_clip0004,2.0,5.0,2.0,3.0
S01E04R03_clip0005,2.0,5.0,2.0,3.0
S01E04R03_clip0006,2.0,5.0,2.0,3.0
S01E04R03_clip0007,2.0,5.0,2.0,3.0
S01E04R03_clip0008,2.0,5.0,2.0,3.0
S01E04R03_clip0009,2.0,5.0,2.0,3.0
S01E04R03_clip0010,2.0,5.0,2.0,3.0
S01E04R03_clip0011,2.0,5.0,2.0,3.0
S01E04R03_clip0012,2.0,5.0,2.0,3.0
S01E04R03_clip0013,2.0,5.0,2.0,3.0
S01E04R03_clip0014,2.0,5.0,2.0,3.0
S01E04R03_clip0015,2.0,5.0,2.0,3.0
S01E04R03_clip0016,2.0,5.0,2.0,3.0
S01E04R03_clip0017,2.0,5.0,2.0,3.0
S01E04R03_clip0018,2.0,5.0,2.0,3.0
S01E04R03_clip0019,2.0,5.0,2.0,3.0
S01E04R03_clip0020,2.0,5.0,2.0,3.0
S01E04R03_clip0021,2.0,5.0,2.0,3.0
S01E04R03_clip0022,2.0,5.0,2.0,3.0
S01E04R03_clip0023,2.0,5.0,2.0,3.0
S01E04R03_clip0024,2.0,5.0,2.0,3.0
S01E04R03_clip0025,2.0,5.0,2.0,3.0
S01E04R03_clip0026,2.0,5.0,2.0,3.0
S01E04R03_clip0027,2.0,5.0,2.0,3.0
S01E04R03_clip0028,2.0,5.0,2.0,3.0
S01E04R03_clip0029,2.0,5.0,2.0,3.0
S01E04R03_clip0030,2.0,5.0,2.0,3.0
S01E04R03_clip0031,2.0,5.0,2.0,3.0
S01E04R03_clip0032,2.0,5.0,2.0,3.0
S01E04R03_clip0033,2.0,5.0,2.0,3.0
S01E04R03_clip0034,2.0,5.0,2.0,3.0
S01E04R03_clip0035,2.0,5.0,2.0,3.0
S01E04R03_clip0036,2.0,5.0,2.0,3.0
S01E04R03_clip0037,2.0,5.0,2.0,3.0
S01E04R03_clip0038,2.0,5.0,2.0,3.0
S01E04R03_clip0039,2.0,4.0,2.0,4.0
S01E04R03_clip0040,2.0,4.0,2.0,4.0
S01E04R03_clip0041,2.0,5.0,2.0,4.0
S01E04R03_clip0042,2.0,5.0,2.0,4.0
S01E04R03_clip0043,2.0,5.0,2.0,4.0
S01E04R03_clip0044,2.0,5.0,2.0,4.0
S01E04R03_clip0045,2.0,5.0,2.0,4.0
S01E04R03_clip0046,2.0,5.0,2.0,4.0
S01E04R03_clip0047,2.0,4.0,2.0,4.0
S01E04R03_clip0048,2.0,4.0,2.0,4.0
S01E04R03_clip0049,2.0,5.0,2.0,4.0
S01E04R03_clip0050,2.0,5.0,2.0,4.0
S01E04R03_clip0051,2.0,5.0,2.0,4.0
S01E04R03_clip0052,2.0,5.0,2.0,4.0
S01E04R03_clip0053,2.0,5.0,2.0,4.0
S01E04R03_clip0054,2.0,5.0,2.0,4.0
S01E04R03_clip0055,2.0,5.0,2.0,4.0
S01E04R03_clip0056,2.0,5.0,2.0,4.0
S01E04R03_clip0057,2.0,5.0,2.0,4.0
S01E04R03_clip0058,2.0,5.0,2.0,4.0
S01E04R03_clip0059,2.0,5.0,2.0,4.0
S01E04R03_clip0060,2.0,5.0,2.0,4.0
S01E04R03_clip0061,2.0,5.0,2.0,4.0
S01E04R03_clip0062,2.0,5.0,2.0,4.0
S01E04R03_clip0063,2.0,5.0,2.0,4.0
S01E04R03_clip0064,2.0,5.0,2.0,4.0
S01E04R03_clip0065,2.0,5.0,2.0,4.0
S01E04R03_clip0066,2.0,5.0,2.0,4.0
S01E04R03_clip0067,2.0,5.0,2.0,4.0
S01E04R03_clip0068,2.0,5.0,2.0,5.0
S01E04R03_clip0069,2.0,5.0,2.0,4.0
S01E04R03_clip0070,2.0,5.0,2.0,4.0
S01E04R03_clip0071,2.0,5.0,3.0,4.0
S01E04R03_clip0072,2.0,5.0,3.0,4.0
S01E04R03_clip0073,2.0,5.0,3.0,4.0
S01E04R03_clip0074,2.0,5.0,3.0,4.0
S01E04R03_clip0075,2.0,5.0,3.0,4.0
S01E04R03_clip0076,2.0,5.0,3.0,4.0
S01E04R03_clip0077,2.0,5.0,3.0,4.0
S01E04R03_clip0078,2.0,5.0,3.0,4.0
S01E04R03_clip0079,2.0,5.0,3.0,4.0
S01E04R03_clip0080,2.0,5.0,3.0,4.0
S01E04R03_clip0081,2.0,5.0,3.0,4.0
S01E04R03_clip0082,2.0,5.0,3.0,4.0
S01E04R03_clip0083,2.0,5.0,3.0,4.0
S01E04R03_clip0084,2.0,5.0,3.0,4.0
S01E04R03_clip0085,2.0,5.0,3.0,4.0
S01E04R03_clip0086,2.0,5.0,3.0,4.0
S01E04R03_clip0087,2.0,5.0,3.0,4.0
S01E04R03_clip0088,2.0,5.0,3.0,4.0
S01E04R03_clip0089,2.0,5.0,3.0,4.0
S01E04R03_clip0090,2.0,6.0,3.0,5.0
S01E04R03_clip0091,2.0,6.0,3.0,5.0
S01E04R03_clip0092,2.0,6.0,3.0,5.0
S01E04R03_clip0093,2.0,6.0,3.0,5.0
S01E04R03_clip0094,2.0,6.0,3.0,5.0
S01E04R03_clip0095,2.0,6.0,3.0,5.0
S01E04R03_clip0096,2.0,5.0,3.0,4.0
S01E04R03_clip0097,2.0,5.0,3.0,4.0
S01E04R03_clip0098,2.0,5.0,3.0,4.0
S01E04R03_clip0099,2.0,5.0,3.0,4.0
S01E04R03_clip0100,2.0,5.0,3.0,4.0
S01E04R03_clip0101,2.0,5.0,3.0,4.0
S01E04R03_clip0102,2.0,5.0,3.0,4.0
S01E04R03_clip0103,2.0,5.0,3.0,4.0
S01E04R03_clip0104,2.0,5.0,3.0,4.0
S01E04R03_clip0105,2.0,5.0,3.0,4.0
S01E04R03_clip0106,2.0,5.0,3.0,4.0
S01E04R03_clip0107,2.0,5.0,3.0,4.0
S01E04R03_clip0108,2.0,5.0,3.0,4.0
S01E04R03_clip0109,2.0,5.0,3.0,4.0
S01E04R03_clip0110,2.0,5.0,3.0,4.0
S01E04R03_clip0111,2.0,5.0,3.0,4.0
S01E04R03_clip0112,2.0,5.0,3.0,4.0
S01E04R03_clip0113,2.0,5.0,3.0,4.0
S01E04R03_clip0114,2.0,5.0,3.0,4.0
S01E04R03_clip0115,2.0,5.0,3.0,4.0
S01E04R03_clip0116,2.0,5.0,3.0,4.0
S01E04R03_clip0117,2.0,5.0,2.0,4.0
S01E04R03_clip0118,2.0,5.0,2.0,4.0
S01E04R03_clip0119,2.0,5.0,2.0,4.0
S01E04R03_clip0120,2.0,5.0,4.0,4.0
S01E04R03_clip0121,2.0,5.0,4.0,4.0
S01E04R03_clip0122,2.0,5.0,4.0,4.0
S01E04R03_clip0123,2.0,5.0,4.0,4.0
S01E04R03_clip0124,2.0,5.0,4.0,4.0
S01E04R03_clip0125,2.0,5.0,4.0,4.0
S01E04R03_clip0126,2.0,5.0,4.0,4.0
S01E04R03_clip0127,2.0,5.0,4.0,4.0
S01E04R03_clip0128,2.0,5.0,4.0,4.0
S01E04R03_clip0129,2.0,5.0,4.0,4.0
S01E04R03_clip0130,2.0,5.0,4.0,4.0
S01E04R03_clip0131,2.0,5.0,4.0,4.0
S01E04R03_clip0132,2.0,5.0,4.0,4.0
S01E04R03_clip0133,2.0,5.0,4.0,4.0
S01E04R03_clip0134,2.0,5.0,4.0,4.0
S01E04R03_clip0135,2.0,5.0,4.0,4.0
S01E04R03_clip0136,2.0,5.0,4.0,4.0
S01E04R03_clip0137,2.0,5.0,4.0,4.0
S01E04R03_clip0138,2.0,5.0,4.0,4.0
S01E04R03_clip0139,2.0,5.0,4.0,4.0
S01E04R03_clip0140,2.0,5.0,4.0,4.0
S01E04R03_clip0141,2.0,5.0,4.0,4.0
S01E04R03_clip0142,2.0,5.0,4.0,4.0
S01E04R03_clip0143,2.0,5.0,4.0,4.0
S01E04R03_clip0144,2.0,5.0,4.0,4.0
S01E04R03_clip0145,2.0,5.0,4.0,4.0
S01E04R03_clip0146,2.0,5.0,4.0,4.0
S01E04R03_clip0147,2.0,5.0,4.0,4.0
S01E04R03_clip0148,2.0,5.0,4.0,4.0
S01E04R03_clip0149,2.0,4.0,4.0,5.0
S01E04R03_clip0150,2.0,4.0,4.0,5.0
S01E04R03_clip0151,2.0,4.0,4.0,5.0
S01E04R03_clip0152,2.0,4.0,4.0,5.0
S01E04R03_clip0153,2.0,4.0,4.0,5.0
S01E04R03_clip0154,2.0,4.0,4.0,5.0
S01E04R03_clip0155,2.0,4.0,4.0,5.0
S01E04R03_clip0156,2.0,4.0,4.0,5.0
S01E04R03_clip0157,2.0,4.0,4.0,5.0
S01E04R03_clip0158,2.0,4.0,4.0,5.0
S01E04R03_clip0159,3.0,4.0,5.0,5.0
S01E04R03_clip0160,3.0,4.0,5.0,5.0
S01E04R03_clip0161,3.0,4.0,5.0,5.0
S01E04R03_clip0162,3.0,4.0,5.0,5.0
S01E04R03_clip0163,3.0,4.0,5.0,5.0
S01E04R03_clip0164,3.0,4.0,5.0,5.0
S01E04R03_clip0165,3.0,4.0,5.0,5.0
S01E04R03_clip0166,3.0,4.0,5.0,5.0
S01E04R03_clip0167,3.0,4.0,6.0,5.0
S01E04R03_clip0168,3.0,4.0,6.0,5.0
S01E04R03_clip0169,3.0,4.0,6.0,5.0
S01E04R03_clip0170,3.0,4.0,6.0,5.0
S01E04R03_clip0171,3.0,4.0,6.0,5.0
S01E04R03_clip0172,3.0,4.0,6.0,5.0
S01E04R03_clip0173,3.0,4.0,6.0,5.0
