index,valence_1,valence_2,arousal_1,arousal_2
S01E04R01_clip0000,4.0,5.0,3.0,3.0
S01E04R01_clip0001,4.0,5.0,3.0,3.0
S01E04R01_clip0002,4.0,5.0,3.0,3.0
S01E04R01_clip0003,4.0,5.0,3.0,3.0
S01E04R01_clip0004,4.0,5.0,3.0,3.0
S01E04R01_clip0005,4.0,5.0,3.0,3.0
S01E04R01_clip0006,4.0,5.0,3.0,3.0
S01E04R01_clip0007,4.0,5.0,3.0,4.0
S01E04R01_clip0008,4.0,5.0,3.0,4.0
S01E04R01_clip0009,4.0,5.0,3.0,4.0
S01E04R01_clip0010,4.0,5.0,3.0,4.0
S01E04R01_clip0011,4.0,5.0,4.0,4.0
S01E04R01_clip0012,4.0,5.0,4.0,4.0
S01E04R01_clip0013,4.0,5.0,4.0,4.0
S01E04R01_clip0014,4.0,5.0,4.0,4.0
S01E04R01_clip0015,4.0,5.0,4.0,4.0
S01E04R01_clip0016,4.0,5.0,4.0,4.0
S01E04R01_clip0017,4.0,5.0,4.0,4.0
S01E04R01_clip0018,4.0,5.0,4.0,4.0
S01E04R01_clip0019,4.0,5.0,4.0,4.0
S01E04R01_clip0020,4.0,5.0,4.0,4.0
S01E04R01_clip0021,4.0,5.0,4.0,4.0
S01E04R01_clip0022,4.0,5.0,4.0,4.0
S01E04R01_clip0023,4.0,5.0,4.0,4.0
S01E04R01_clip0024,4.0,5.0,4.0,4.0
S01E04R01_clip0025,4.0,5.0,4.0,4.0
S01E04R01_clip0026,4.0,5.0,4.0,4.0
S01E04R01_clip0027,4.0,5.0,4.0,4.0
S01E04R01_clip0028,4.0,5.0,4.0,4.0
S01E04R01_clip0029,4.0,5.0,4.0,4.0
S01E04R01_clip0030,4.0,5.0,3.0,4.0
S01E04R01_clip0031,4.0,5.0,3.0,4.0
S01E04R01_clip0032,4.0,5.0,4.0,4.0
S01E04R01_clip0033,4.0,5.0,4.0,4.0
S01E04R01_clip0034,4.0,5.0,4.0,4.0
S01E04R01_clip0035,4.0,5.0,4.0,4.0
S01E04R01_clip0036,4.0,5.0,4.0,4.0
S01E04R01_clip0037,4.0,4.0,4.0,5.0
S01E04R01_clip0038,4.0,4.0,4.0,5.0
S01E04R01_clip0039,4.0,4.0,4.0,5.0
S01E04R01_clip0040,4.0,4.0,4.0,5.0
S01E04R01_clip0041,4.0,4.0,4.0,5.0
S01E04R01_clip0042,4.0,4.0,4.0,5.0
S01E04R01_clip0043,4.0,4.0,4.0,5.0
S01E04R01_clip0044,4.0,4.0,4.0,5.0
S01E04R01_clip0045,4.0,4.0,4.0,5.0
S01E04R01_clip0046,4.0,4.0,4.0,5.0
S01E04R01_clip0047,4.0,4.0,4.0,5.0
S01E04R01_clip0048,4.0,4.0,4.0,5.0
S01E04R01_clip0049,4.0,4.0,4.0,5.0
S01E04R01_clip0050,3.0,4.0,4.0,5.0
S01E04R01_clip0051,3.0,4.0,4.0,5.0
S01E04R01_clip0052,3.0,4.0,4.0,5.0
S01E04R01_clip0053,3.0,4.0,4.0,5.0
S01E04R01_clip0054,3.0,4.0,4.0,5.0
S01E04R01_clip0055,3.0,4.0,4.0,5.0
S01E04R01_clip0056,3.0,4.0,4.0,5.0
S01E04R01_clip0057,3.0,4.0,4.0,5.0
S01E04R01_clip0058,3.0,4.0,4.0,5.0
S01E04R01_clip0059,3.0,4.0,4.0,5.0
S01E04R01_clip0060,3.0,4.0,4.0,5.0
S01E04R01_clip0061,3.0,4.0,4.0,5.0
S01E04R01_clip0062,3.0,4.0,4.0,5.0
S01E04R01_clip0063,3.0,4.0,4.0,5.0
S01E04R01_clip0064,3.0,4.0,4.0,5.0
S01E04R01_clip0065,3.0,4.0,4.0,5.0
S01E04R01_clip0066,3.0,4.0,4.0,5.0
S01E04R01_clip0067,3.0,4.0,4.0,5.0
S01E04R01_clip0068,3.0,4.0,4.0,5.0
S01E04R01_clip0069,3.0,4.0,4.0,5.0
S01E04R01_clip0070,3.0,4.0,4.0,5.0
S01E04R01_clip0071,3.0,4.0,4.0,5.0
S01E04R01_clip0072,3.0,4.0,4.0,5.0
S01E04R01_clip0073,3.0,4.0,4.0,5.0
