index,valence_1,valence_2,arousal_1,arousal_2
S01E04R02_clip0000,3,5,2,3
S01E04R02_clip0001,3,5,3,3
S01E04R02_clip0002,3,5,3,3
S01E04R02_clip0003,3,5,3,3
S01E04R02_clip0004,3,5,3,3
S01E04R02_clip0005,3,5,3,3
S01E04R02_clip0006,3,5,3,3
S01E04R02_clip0007,3,5,3,3
S01E04R02_clip0008,3,5,3,3
S01E04R02_clip0009,3,5,3,3
S01E04R02_clip0010,3,5,3,3
S01E04R02_clip0011,3,5,3,3
S01E04R02_clip0012,3,5,3,3
S01E04R02_clip0013,3,5,3,3
S01E04R02_clip0014,3,5,3,3
S01E04R02_clip0015,3,5,3,3
S01E04R02_clip0016,3,5,3,4
S01E04R02_clip0017,3,5,3,4
S01E04R02_clip0018,3,5,3,4
S01E04R02_clip0019,3,5,3,4
S01E04R02_clip0020,3,5,3,4
S01E04R02_clip0021,3,5,4,5
S01E04R02_clip0022,3,5,3,5
S01E04R02_clip0023,3,5,3,5
S01E04R02_clip0024,3,5,3,4
S01E04R02_clip0025,3,5,3,4
S01E04R02_clip0026,3,5,3,4
S01E04R02_clip0027,3,5,3,4
S01E04R02_clip0028,3,5,3,4
S01E04R02_clip0029,3,4,2,4
S01E04R02_clip0030,3,5,2,3
S01E04R02_clip0031,3,5,2,3
S01E04R02_clip0032,3,5,2,3
S01E04R02_clip0033,3,5,2,3
S01E04R02_clip0034,3,5,2,3
S01E04R02_clip0035,3,5,2,3
S01E04R02_clip0036,3,5,2,3
S01E04R02_clip0037,3,5,2,3
S01E04R02_clip0038,3,5,2,3
S01E04R02_clip0039,3,5,2,3
S01E04R02_clip0040,3,5,2,3
S01E04R02_clip0041,3,5,2,3
S01E04R02_clip0042,3,5,2,3
S01E04R02_clip0043,3,5,2,3
S01E04R02_clip0044,3,5,2,3
S01E04R02_clip0045,3,5,2,3
S01E04R02_clip0046,3,5,2,3
S01E04R02_clip0047,3,5,2,3
S01E04R02_clip0048,3,5,2,3
S01E04R02_clip0049,3,5,2,3
S01E04R02_clip0050,3,5,2,3
S01E04R02_clip0051,3,5,2,3
S01E04R02_clip0052,3,5,2,3
S01E04R02_clip0053,3,5,2,3
S01E04R02_clip0054,3,5,2,3
S01E04R02_clip0055,3,5,2,3
S01E04R02_clip0056,3,5,2,3
S01E04R02_clip0057,3,5,2,3
S01E04R02_clip0058,3,5,2,3
S01E04R02_clip0059,3,5,2,3
S01E04R02_clip0060,3,5,2,3
S01E04R02_clip0061,3,5,2,3
S01E04R02_clip0062,3,5,2,4
S01E04R02_clip0063,3,5,3,4
S01E04R02_clip0064,3,5,3,4
S01E04R02_clip0065,3,5,3,4
S01E04R02_clip0066,3,5,3,4
S01E04R02_clip0067,3,5,3,4
S01E04R02_clip0068,3,5,3,4
S01E04R02_clip0069,3,5,3,4
S01E04R02_clip0070,3,5,3,4
S01E04R02_clip0071,3,5,3,4
S01E04R02_clip0072,3,5,3,4
S01E04R02_clip0073,3,5,3,4
S01E04R02_clip0074,3,5,3,4
S01E04R02_clip0075,3,5,3,4
S01E04R02_clip0076,3,5,3,4
S01E04R02_clip0077,3,5,3,4
S01E04R02_clip0078,3,5,3,4
S01E04R02_clip0079,3,4,3,4
S01E04R02_clip0080,3,4,3,4
S01E04R02_clip0081,3,4,3,4
S01E04R02_clip0082,3,4,3,4
S01E04R02_clip0083,3,4,3,4
S01E04R02_clip0084,3,4,3,4
S01E04R02_clip0085,3,4,3,4
S01E04R02_clip0086,3,4,3,4
S01E04R02_clip0087,3,4,3,4
S01E04R02_clip0088,3,4,3,4
S01E04R02_clip0089,3,4,3,4
S01E04R02_clip0090,3,4,3,4
S01E04R02_clip0091,3,4,3,4
S01E04R02_clip0092,3,5,3,3
S01E04R02_clip0093,3,5,2,3
S01E04R02_clip0094,3,5,2,3
S01E04R02_clip0095,3,5,2,3
S01E04R02_clip0096,3,5,2,3
S01E04R02_clip0097,3,5,2,3
S01E04R02_clip0098,3,5,2,3
S01E04R02_clip0099,3,5,2,3
S01E04R02_clip0100,3,5,2,3
S01E04R02_clip0101,3,5,2,4
S01E04R02_clip0102,3,5,2,4
S01E04R02_clip0103,3,5,2,4
S01E04R02_clip0104,3,5,2,4
S01E04R02_clip0105,3,5,2,4
S01E04R02_clip0106,3,5,2,4
S01E04R02_clip0107,3,5,2,4
S01E04R02_clip0108,3,5,2,4
S01E04R02_clip0109,3,4,2,5
S01E04R02_clip0110,3,4,3,5
S01E04R02_clip0111,3,4,3,5
S01E04R02_clip0112,3,4,3,5
S01E04R02_clip0113,3,4,3,5
S01E04R02_clip0114,3,4,3,5
S01E04R02_clip0115,3,4,3,5
S01E04R02_clip0116,3,4,3,5
S01E04R02_clip0117,3,4,3,5
S01E04R02_clip0118,3,4,3,5
S01E04R02_clip0119,3,4,3,5
S01E04R02_clip0120,3,4,3,5
S01E04R02_clip0121,3,4,3,5
S01E04R02_clip0122,3,4,3,5
S01E04R02_clip0123,3,4,3,5
S01E04R02_clip0124,3,3,3,5
S01E04R02_clip0125,3,3,3,5
S01E04R02_clip0126,3,3,3,5
S01E04R02_clip0127,3,3,3,5
S01E04R02_clip0128,3,3,3,5
S01E04R02_clip0129,3,4,3,4
S01E04R02_clip0130,3,4,3,4
S01E04R02_clip0131,3,4,3,4
S01E04R02_clip0132,3,4,3,4
S01E04R02_clip0133,3,4,3,4
S01E04R02_clip0134,3,4,3,4
S01E04R02_clip0135,3,4,3,4
S01E04R02_clip0136,3,4,3,4
S01E04R02_clip0137,3,4,3,4
S01E04R02_clip0138,3,4,3,4
S01E04R02_clip0139,3,4,3,4
S01E04R02_clip0140,3,4,3,4
S01E04R02_clip0141,3,4,3,4
S01E04R02_clip0142,3,4,3,4
S01E04R02_clip0143,3,4,3,4
S01E04R02_clip0144,3,4,3,4
S01E04R02_clip0145,3,4,3,4
S01E04R02_clip0146,3,4,3,4
S01E04R02_clip0147,3,4,3,4
S01E04R02_clip0148,3,4,3,4
S01E04R02_clip0149,3,4,3,4
S01E04R02_clip0150,3,4,3,4
S01E04R02_clip0151,3,4,3,4
S01E04R02_clip0152,3,4,3,4
S01E04R02_clip0153,3,4,3,4
S01E04R02_clip0154,3,4,3,4
S01E04R02_clip0155,3,4,3,4
S01E04R02_clip0156,3,4,3,4
S01E04R02_clip0157,3,4,3,4
S01E04R02_clip0158,3,4,3,4
S01E04R02_clip0159,3,4,3,4
S01E04R02_clip0160,3,4,3,4
S01E04R02_clip0161,3,4,3,4
S01E04R02_clip0162,3,4,3,4
S01E04R02_clip0163,3,3,3,4
S01E04R02_clip0164,3,3,3,4
S01E04R02_clip0165,3,3,3,4
S01E04R02_clip0166,3,3,3,4
S01E04R02_clip0167,3,3,3,4
S01E04R02_clip0168,3,3,3,4
S01E04R02_clip0169,3,3,3,4
S01E04R02_clip0170,3,3,3,4
S01E04R02_clip0171,3,3,3,4
S01E04R02_clip0172,3,3,3,4
S01E04R02_clip0173,3,3,3,4
S01E04R02_clip0174,3,3,3,4
S01E04R02_clip0175,3,3,3,4
S01E04R02_clip0176,3,3,3,4
S01E04R02_clip0177,3,3,3,4
S01E04R02_clip0178,3,3,3,4
S01E04R02_clip0179,3,3,3,4
S01E04R02_clip0180,3,4,3,5
S01E04R02_clip0181,3,4,3,5
S01E04R02_clip0182,3,4,3,5
S01E04R02_clip0183,3,4,3,5
S01E04R02_clip0184,3,4,3,5
S01E04R02_clip0185,3,4,3,5
S01E04R02_clip0186,3,4,3,5
S01E04R02_clip0187,3,4,3,6
S01E04R02_clip0188,3,4,3,5
S01E04R02_clip0189,3,4,3,4
S01E04R02_clip0190,3,4,3,4
S01E04R02_clip0191,3,4,3,4
S01E04R02_clip0192,3,4,3,4
S01E04R02_clip0193,3,4,3,4
S01E04R02_clip0194,3,4,3,4
S01E04R02_clip0195,3,4,3,4
S01E04R02_clip0196,3,4,3,4
S01E04R02_clip0197,3,4,3,4
S01E04R02_clip0198,3,4,3,4
S01E04R02_clip0199,3,4,3,4
S01E04R02_clip0200,3,4,3,4
S01E04R02_clip0201,3,4,3,4
S01E04R02_clip0202,3,4,3,4
S01E04R02_clip0203,3,4,3,4
S01E04R02_clip0204,3,4,3,4
S01E04R02_clip0205,3,4,3,4
S01E04R02_clip0206,3,4,3,4
S01E04R02_clip0207,3,4,3,4
S01E04R02_clip0208,3,4,3,4
S01E04R02_clip0209,3,4,3,4
S01E04R02_clip0210,3,4,3,4
S01E04R02_clip0211,3,4,3,4
S01E04R02_clip0212,3,4,3,4
S01E04R02_clip0213,3,4,3,4
S01E04R02_clip0214,3,4,3,4
S01E04R02_clip0215,3,4,3,4
S01E04R02_clip0216,3,4,3,4
S01E04R02_clip0217,3,4,3,4
S01E04R02_clip0218,3,4,3,4
S01E04R02_clip0219,3,4,3,4
S01E04R02_clip0220,3,4,3,4
S01E04R02_clip0221,3,4,3,4
S01E04R02_clip0222,3,4,3,4
S01E04R02_clip0223,3,4,3,4
S01E04R02_clip0224,3,4,3,4
S01E04R02_clip0225,3,4,3,4
S01E04R02_clip0226,3,4,3,4
S01E04R02_clip0227,3,4,3,4
S01E04R02_clip0228,3,4,3,4
S01E04R02_clip0229,3,4,3,4
S01E04R02_clip0230,3,4,3,4
S01E04R02_clip0231,3,4,3,4
S01E04R02_clip0232,3,4,3,4
S01E04R02_clip0233,3,4,3,4
S01E04R02_clip0234,3,4,3,4
S01E04R02_clip0235,3,4,3,4
S01E04R02_clip0236,3,4,3,4
S01E04R02_clip0237,3,4,3,4
S01E04R02_clip0238,3,4,3,4
S01E04R02_clip0239,3,4,4,4
S01E04R02_clip0240,3,4,4,4
S01E04R02_clip0241,3,4,4,4
S01E04R02_clip0242,3,4,4,4
S01E04R02_clip0243,3,4,4,4
S01E04R02_clip0244,3,4,4,4
S01E04R02_clip0245,3,4,4,4
S01E04R02_clip0246,3,4,4,4
S01E04R02_clip0247,3,4,4,4
S01E04R02_clip0248,3,4,4,4
S01E04R02_clip0249,3,4,4,4
S01E04R02_clip0250,3,3,4,5
S01E04R02_clip0251,3,3,4,5
S01E04R02_clip0252,3,3,4,5
S01E04R02_clip0253,3,3,4,5
S01E04R02_clip0254,3,3,4,5
S01E04R02_clip0255,3,3,4,5
S01E04R02_clip0256,3,3,4,5
S01E04R02_clip0257,3,3,4,5
S01E04R02_clip0258,3,3,4,5
S01E04R02_clip0259,3,3,4,5
S01E04R02_clip0260,3,3,4,5
S01E04R02_clip0261,3,3,4,5
S01E04R02_clip0262,3,3,4,5
S01E04R02_clip0263,3,3,4,5
S01E04R02_clip0264,3,3,4,5
S01E04R02_clip0265,3,3,4,5
S01E04R02_clip0266,3,3,4,5
S01E04R02_clip0267,3,3,4,5
S01E04R02_clip0268,3,3,4,5
S01E04R02_clip0269,3,3,4,5
S01E04R02_clip0270,3,3,4,5
S01E04R02_clip0271,3,3,4,5
S01E04R02_clip0272,3,3,4,5
S01E04R02_clip0273,3,3,4,5
S01E04R02_clip0274,3,3,4,5
S01E04R02_clip0275,3,3,4,5
S01E04R02_clip0276,3,3,4,5
S01E04R02_clip0277,3,3,4,5
S01E04R02_clip0278,3,3,4,5
S01E04R02_clip0279,3,3,4,5
S01E04R02_clip0280,3,3,4,5
S01E04R02_clip0281,3,3,4,5
S01E04R02_clip0282,3,3,4,5
S01E04R02_clip0283,3,3,4,5
S01E04R02_clip0284,3,3,4,5
S01E04R02_clip0285,3,3,4,5
S01E04R02_clip0286,3,3,4,5
S01E04R02_clip0287,3,3,4,5
S01E04R02_clip0288,3,3,4,5
S01E04R02_clip0289,3,3,4,5
S01E04R02_clip0290,3,3,4,5
S01E04R02_clip0291,3,3,4,5
S01E04R02_clip0292,3,3,4,5
S01E04R02_clip0293,3,3,4,5
S01E04R02_clip0294,3,3,4,5
S01E04R02_clip0295,3,3,4,5
