index,valence_1,valence_2,arousal_1,arousal_2
S01E04R04_clip0000,2,5,2,4
S01E04R04_clip0001,2,5,2,4
S01E04R04_clip0002,2,5,2,4
S01E04R04_clip0003,2,5,2,4
S01E04R04_clip0004,2,5,2,4
S01E04R04_clip0005,2,5,2,4
S01E04R04_clip0006,2,5,2,4
S01E04R04_clip0007,2,5,2,4
S01E04R04_clip0008,2,5,2,4
S01E04R04_clip0009,2,5,2,4
S01E04R04_clip0010,2,5,2,4
S01E04R04_clip0011,2,5,2,4
S01E04R04_clip0012,2,5,2,4
S01E04R04_clip0013,2,5,2,4
S01E04R04_clip0014,2,5,2,4
S01E04R04_clip0015,2,5,2,4
S01E04R04_clip0016,2,5,2,4
S01E04R04_clip0017,2,5,2,4
S01E04R04_clip0018,2,5,2,4
S01E04R04_clip0019,2,5,2,4
S01E04R04_clip0020,2,5,2,4
S01E04R04_clip0021,2,5,2,4
S01E04R04_clip0022,2,5,2,4
S01E04R04_clip0023,2,5,2,4
S01E04R04_clip0024,2,5,2,4
S01E04R04_clip0025,2,5,2,4
S01E04R04_clip0026,2,5,2,4
S01E04R04_clip0027,2,5,2,4
S01E04R04_clip0028,2,5,2,4
S01E04R04_clip0029,2,5,2,4
S01E04R04_clip0030,2,5,2,4
S01E04R04_clip0031,2,5,2,4
S01E04R04_clip0032,2,5,2,4
S01E04R04_clip0033,2,5,2,4
S01E04R04_clip0034,2,5,2,4
S01E04R04_clip0035,2,5,2,4
S01E04R04_clip0036,2,5,2,4
S01E04R04_clip0037,2,5,2,4
S01E04R04_clip0038,2,5,2,4
S01E04R04_clip0039,2,5,2,4
S01E04R04_clip0040,2,5,2,4
S01E04R04_clip0041,2,5,2,4
S01E04R04_clip0042,2,5,2,4
S01E04R04_clip0043,2,5,2,4
S01E04R04_clip0044,2,5,2,4
S01E04R04_clip0045,2,5,2,4
S01E04R04_clip0046,2,5,2,4
S01E04R04_clip0047,2,5,2,4
S01E04R04_clip0048,2,5,2,4
S01E04R04_clip0049,2,5,2,4
S01E04R04_clip0050,2,5,2,4
S01E04R04_clip0051,2,5,2,4
S01E04R04_clip0052,2,5,2,4
S01E04R04_clip0053,2,5,2,4
S01E04R04_clip0054,2,5,2,4
S01E04R04_clip0055,2,5,2,4
S01E04R04_clip0056,2,5,3,4
S01E04R04_clip0057,2,5,3,4
S01E04R04_clip0058,2,5,3,4
S01E04R04_clip0059,2,5,3,4
S01E04R04_clip0060,2,5,3,4
S01E04R04_clip0061,2,5,3,4
S01E04R04_clip0062,2,5,3,4
S01E04R04_clip0063,2,5,3,4
S01E04R04_clip0064,2,5,2,4
S01E04R04_clip0065,2,5,2,4
S01E04R04_clip0066,2,5,2,4
S01E04R04_clip0067,2,5,2,4
S01E04R04_clip0068,2,5,2,4
S01E04R04_clip0069,2,5,2,4
S01E04R04_clip0070,2,5,3,4
S01E04R04_clip0071,2,5,3,4
S01E04R04_clip0072,2,5,3,4
S01E04R04_clip0073,2,5,3,4
