index,valence_1,valence_2,arousal_1,arousal_2
S01E01R03_clip0000,5,5,3,7
S01E01R03_clip0001,5,5,3,7
S01E01R03_clip0002,5,5,3,3
S01E01R03_clip0003,5,5,3,3
S01E01R03_clip0004,5,4,3,2
S01E01R03_clip0005,5,4,3,2
S01E01R03_clip0006,5,5,3,1
S01E01R03_clip0007,5,5,3,1
S01E01R03_clip0008,5,5,3,1
S01E01R03_clip0009,5,5,3,1
S01E01R03_clip0010,5,5,3,1
S01E01R03_clip0011,5,5,3,1
S01E01R03_clip0012,5,5,3,1
S01E01R03_clip0013,5,5,3,1
S01E01R03_clip0014,5,5,3,1
S01E01R03_clip0015,5,5,3,1
S01E01R03_clip0016,5,5,3,1
S01E01R03_clip0017,5,5,3,1
S01E01R03_clip0018,5,5,3,1
S01E01R03_clip0019,5,5,3,1
S01E01R03_clip0020,5,5,3,1
S01E01R03_clip0021,5,5,3,1
S01E01R03_clip0022,5,5,3,1
S01E01R03_clip0023,5,5,3,1
S01E01R03_clip0024,5,5,3,1
S01E01R03_clip0025,5,5,3,1
S01E01R03_clip0026,5,4,3,1
S01E01R03_clip0027,5,4,3,2
S01E01R03_clip0028,5,4,3,2
S01E01R03_clip0029,5,4,3,2
S01E01R03_clip0030,5,4,3,2
S01E01R03_clip0031,5,4,3,2
S01E01R03_clip0032,5,3,3,3
S01E01R03_clip0033,5,3,3,3
S01E01R03_clip0034,5,3,3,3
S01E01R03_clip0035,5,3,3,3
S01E01R03_clip0036,5,5,3,1
S01E01R03_clip0037,5,5,3,1
S01E01R03_clip0038,5,4,3,3
S01E01R03_clip0039,5,4,3,3
S01E01R03_clip0040,5,5,3,2
S01E01R03_clip0041,5,4,3,2
S01E01R03_clip0042,5,4,3,2
S01E01R03_clip0043,5,4,3,4
S01E01R03_clip0044,5,4,3,4
S01E01R03_clip0045,5,3,3,4
S01E01R03_clip0046,5,3,3,7
S01E01R03_clip0047,5,4,3,5
S01E01R03_clip0048,5,4,3,5
S01E01R03_clip0049,5,4,3,5
S01E01R03_clip0050,5,4,3,5
S01E01R03_clip0051,5,4,3,5
S01E01R03_clip0052,5,4,3,5
S01E01R03_clip0053,5,4,3,4
S01E01R03_clip0054,5,4,3,4
S01E01R03_clip0055,5,4,3,4
S01E01R03_clip0056,5,4,3,4
S01E01R03_clip0057,5,4,3,4
S01E01R03_clip0058,5,4,3,4
S01E01R03_clip0059,5,4,3,4
S01E01R03_clip0060,5,4,3,3
S01E01R03_clip0061,5,4,3,3
S01E01R03_clip0062,5,4,3,3
