index,valence_1,valence_2,arousal_1,arousal_2
S01E01R02_clip0000,5,5,3,1
S01E01R02_clip0001,5,5,3,1
S01E01R02_clip0002,5,5,3,1
S01E01R02_clip0003,5,5,3,1
S01E01R02_clip0004,5,5,3,1
S01E01R02_clip0005,5,5,3,1
S01E01R02_clip0006,5,5,3,1
S01E01R02_clip0007,5,5,3,1
S01E01R02_clip0008,5,5,3,1
S01E01R02_clip0009,5,5,3,1
S01E01R02_clip0010,5,5,3,1
S01E01R02_clip0011,5,5,3,1
S01E01R02_clip0012,5,5,3,1
S01E01R02_clip0013,5,5,3,1
S01E01R02_clip0014,5,5,3,1
S01E01R02_clip0015,5,5,3,1
S01E01R02_clip0016,5,5,3,1
S01E01R02_clip0017,5,5,3,1
S01E01R02_clip0018,5,5,3,1
S01E01R02_clip0019,5,5,3,1
S01E01R02_clip0020,5,5,3,1
S01E01R02_clip0021,5,5,3,1
S01E01R02_clip0022,5,5,3,1
S01E01R02_clip0023,5,5,3,1
S01E01R02_clip0024,5,5,3,1
S01E01R02_clip0025,5,5,3,1
S01E01R02_clip0026,5,5,3,1
S01E01R02_clip0027,5,5,3,1
S01E01R02_clip0028,5,5,3,1
S01E01R02_clip0029,5,5,3,1
S01E01R02_clip0030,5,5,3,2
S01E01R02_clip0031,5,5,3,2
S01E01R02_clip0032,5,5,3,2
S01E01R02_clip0033,5,5,3,2
S01E01R02_clip0034,5,5,3,2
S01E01R02_clip0035,5,5,3,2
S01E01R02_clip0036,5,6,3,2
S01E01R02_clip0037,5,6,3,2
S01E01R02_clip0038,5,6,3,2
S01E01R02_clip0039,5,6,3,2
S01E01R02_clip0040,5,4,3,2
S01E01R02_clip0041,5,4,3,2
S01E01R02_clip0042,5,4,3,2
S01E01R02_clip0043,5,4,3,2
S01E01R02_clip0044,5,4,3,2
S01E01R02_clip0045,5,4,3,2
S01E01R02_clip0046,5,4,3,2
S01E01R02_clip0047,5,4,3,2
S01E01R02_clip0048,5,4,3,2
S01E01R02_clip0049,5,6,3,3
S01E01R02_clip0050,5,6,3,3
S01E01R02_clip0051,5,6,3,3
S01E01R02_clip0052,5,6,3,4
S01E01R02_clip0053,5,6,3,4
S01E01R02_clip0054,5,6,3,4
S01E01R02_clip0055,5,6,3,4
S01E01R02_clip0056,5,6,3,4
S01E01R02_clip0057,5,4,3,5
S01E01R02_clip0058,5,4,3,5
S01E01R02_clip0059,5,3,3,4
S01E01R02_clip0060,5,3,3,4
S01E01R02_clip0061,5,3,3,4
S01E01R02_clip0062,5,5,3,4
S01E01R02_clip0063,5,5,3,4
S01E01R02_clip0064,5,5,3,4
S01E01R02_clip0065,5,5,3,4
S01E01R02_clip0066,5,5,3,4
S01E01R02_clip0067,5,5,3,4
S01E01R02_clip0068,5,5,3,4
S01E01R02_clip0069,5,5,3,4
S01E01R02_clip0070,5,5,3,4
S01E01R02_clip0071,5,5,3,3
S01E01R02_clip0072,5,5,3,3
S01E01R02_clip0073,5,5,3,2
S01E01R02_clip0074,5,5,3,2
S01E01R02_clip0075,5,5,3,2
S01E01R02_clip0076,5,5,3,2
S01E01R02_clip0077,5,6,3,2
S01E01R02_clip0078,5,6,3,2
S01E01R02_clip0079,5,5,3,4
S01E01R02_clip0080,5,5,3,4
S01E01R02_clip0081,5,6,3,4
S01E01R02_clip0082,5,6,3,4
S01E01R02_clip0083,5,6,3,4
S01E01R02_clip0084,5,6,3,5
S01E01R02_clip0085,5,4,3,6
S01E01R02_clip0086,5,7,3,5
S01E01R02_clip0087,5,7,3,5
S01E01R02_clip0088,5,7,3,5
S01E01R02_clip0089,5,7,3,5
S01E01R02_clip0090,5,7,3,5
S01E01R02_clip0091,5,4,3,6
S01E01R02_clip0092,5,4,3,6
S01E01R02_clip0093,5,4,3,6
S01E01R02_clip0094,5,4,3,6
S01E01R02_clip0095,5,4,3,6
S01E01R02_clip0096,5,4,3,6
S01E01R02_clip0097,5,4,3,6
S01E01R02_clip0098,5,4,3,6
S01E01R02_clip0099,5,4,3,6
S01E01R02_clip0100,5,4,3,6
S01E01R02_clip0101,5,4,3,6
S01E01R02_clip0102,5,4,3,6
S01E01R02_clip0103,5,4,3,6
S01E01R02_clip0104,5,4,3,6
S01E01R02_clip0105,5,4,3,6
S01E01R02_clip0106,5,4,3,6
S01E01R02_clip0107,5,4,3,6
S01E01R02_clip0108,5,4,3,3
S01E01R02_clip0109,5,4,3,3
S01E01R02_clip0110,5,4,3,3
S01E01R02_clip0111,5,5,3,3
S01E01R02_clip0112,5,5,3,3
S01E01R02_clip0113,5,5,3,3
S01E01R02_clip0114,5,5,3,3
S01E01R02_clip0115,5,5,3,3
S01E01R02_clip0116,5,5,3,3
S01E01R02_clip0117,5,5,3,3
S01E01R02_clip0118,5,5,3,3
S01E01R02_clip0119,5,5,3,3
S01E01R02_clip0120,5,4,3,4
S01E01R02_clip0121,5,4,3,4
S01E01R02_clip0122,5,4,3,4
S01E01R02_clip0123,5,4,3,4
S01E01R02_clip0124,5,4,3,4
S01E01R02_clip0125,5,4,3,4
S01E01R02_clip0126,5,4,3,5
S01E01R02_clip0127,5,4,3,5
S01E01R02_clip0128,5,4,3,5
S01E01R02_clip0129,5,4,3,5
S01E01R02_clip0130,5,4,3,5
S01E01R02_clip0131,5,4,3,5
S01E01R02_clip0132,5,4,3,5
S01E01R02_clip0133,5,4,3,5
S01E01R02_clip0134,5,4,3,5
S01E01R02_clip0135,5,4,3,5
S01E01R02_clip0136,5,5,3,2
S01E01R02_clip0137,5,5,3,2
S01E01R02_clip0138,5,5,3,2
S01E01R02_clip0139,5,5,3,2
