run,index,valence_1,valence_2,arousal_1,arousal_2
S01E03R01,S01E03R01_clip0000,3,5,3.0,4
S01E03R01,S01E03R01_clip0001,3,5,3.0,4
S01E03R01,S01E03R01_clip0002,3,5,3.0,4
S01E03R01,S01E03R01_clip0003,1,5,7.0,5
S01E03R01,S01E03R01_clip0004,1,5,7.0,5
S01E03R01,S01E03R01_clip0005,1,5,7.0,5
S01E03R01,S01E03R01_clip0006,1,5,5.0,5
S01E03R01,S01E03R01_clip0007,1,5,5.0,5
S01E03R01,S01E03R01_clip0008,1,5,5.0,5
S01E03R01,S01E03R01_clip0009,1,5,5.0,5
S01E03R01,S01E03R01_clip0010,1,5,7.0,5
S01E03R01,S01E03R01_clip0011,1,5,5.0,5
S01E03R01,S01E03R01_clip0012,1,5,5.0,5
S01E03R01,S01E03R01_clip0013,1,5,5.0,5
S01E03R01,S01E03R01_clip0014,1,5,5.0,5
S01E03R01,S01E03R01_clip0015,1,5,5.0,5
S01E03R01,S01E03R01_clip0016,1,5,5.0,5
S01E03R01,S01E03R01_clip0017,1,5,5.0,5
S01E03R01,S01E03R01_clip0018,1,5,5.0,5
S01E03R01,S01E03R01_clip0019,1,5,5.0,5
S01E03R01,S01E03R01_clip0020,1,5,5.0,5
S01E03R01,S01E03R01_clip0021,1,5,9.0,7
S01E03R01,S01E03R01_clip0022,1,5,9.0,7
S01E03R01,S01E03R01_clip0023,7,5,1.0,7
S01E03R01,S01E03R01_clip0024,7,5,1.0,5
S01E03R01,S01E03R01_clip0025,7,5,1.0,5
S01E03R01,S01E03R01_clip0026,7,5,1.0,5
S01E03R01,S01E03R01_clip0027,1,5,7.0,5
S01E03R01,S01E03R01_clip0028,1,5,7.0,6
S01E03R01,S01E03R01_clip0029,7,5,1.0,5
S01E03R01,S01E03R01_clip0030,7,5,1.0,5
S01E03R01,S01E03R01_clip0031,7,5,1.0,5
S01E03R01,S01E03R01_clip0032,1,4,7.0,6
S01E03R01,S01E03R01_clip0033,1,4,7.0,6
S01E03R01,S01E03R01_clip0034,1,4,9.0,6
S01E03R01,S01E03R01_clip0035,5,4,1.0,6
S01E03R01,S01E03R01_clip0036,5,4,1.0,6
S01E03R01,S01E03R01_clip0037,7,5,1.0,5
S01E03R01,S01E03R01_clip0038,7,5,1.0,5
S01E03R01,S01E03R01_clip0039,7,5,1.0,5
S01E03R01,S01E03R01_clip0040,7,5,1.0,5
S01E03R01,S01E03R01_clip0041,1,4,5.0,6
S01E03R01,S01E03R01_clip0042,1,4,5.0,6
S01E03R01,S01E03R01_clip0043,1,4,7.0,6
S01E03R01,S01E03R01_clip0044,1,4,7.0,6
S01E03R01,S01E03R01_clip0045,7,4,1.0,6
S01E03R01,S01E03R01_clip0046,1,5,7.0,5
S01E03R01,S01E03R01_clip0047,1,4,7.0,6
S01E03R01,S01E03R01_clip0048,1,4,7.0,6
S01E03R01,S01E03R01_clip0049,1,4,7.0,6
S01E03R01,S01E03R01_clip0050,1,4,7.0,6
S01E03R01,S01E03R01_clip0051,1,4,9.0,6
S01E03R01,S01E03R01_clip0052,7,5,1.0,5
S01E03R01,S01E03R01_clip0053,7,5,1.0,5
