participant_id	session	emotion	rmse	r2	ar1_detected	n_test
sub-Blossom	1	arousal	0.990602861902465	0.018705969990645888	False	120
sub-Blossom	2	arousal	0.9928712739183043	0.01420663342784334	False	120
