cap	metric	emotion_dimension	r	p_value	n	significant	effect_size	is_dwell_metric	metric_mean	metric_std	emotion_mean	emotion_std
CAP_3	frequency_pct	valence	0.2995746337167649	0.053929866025937995	42	False	small	False	35.714285714285715	48.49656045851726	4.684283117872137	1.667850283368099
CAP_3	frequency_pct	arousal	0.32619138055220165	0.035012780611884786	42	True	medium	False	35.714285714285715	48.49656045851726	3.8644786872179897	1.622298246220171
CAP_3	frequency_pct	valence_t	0.2995746337167648	0.053929866025937995	42	False	small	False	35.714285714285715	48.49656045851726	50.0	10.121216546949478
CAP_3	frequency_pct	arousal_t	0.32619138055220154	0.03501278061188494	42	True	medium	False	35.714285714285715	48.49656045851726	50.0	10.121216546949476
CAP_3	avg_dwell_time	valence	0.2995746337167649	0.053929866025937995	42	False	small	True	0.35714285714285715	0.4849656045851726	4.684283117872137	1.667850283368099
CAP_3	avg_dwell_time	arousal	0.3261913805522016	0.035012780611884786	42	True	medium	True	0.35714285714285715	0.4849656045851726	3.8644786872179897	1.622298246220171
CAP_3	avg_dwell_time	valence_t	0.29957463371676485	0.053929866025937995	42	False	small	True	0.35714285714285715	0.4849656045851726	50.0	10.121216546949478
CAP_3	avg_dwell_time	arousal_t	0.3261913805522016	0.035012780611884786	42	True	medium	True	0.35714285714285715	0.4849656045851726	50.0	10.121216546949476
CAP_3	max_dwell_time	valence	0.2995746337167649	0.053929866025937995	42	False	small	True	0.35714285714285715	0.4849656045851726	4.684283117872137	1.667850283368099
CAP_3	max_dwell_time	arousal	0.3261913805522016	0.035012780611884786	42	True	medium	True	0.35714285714285715	0.4849656045851726	3.8644786872179897	1.622298246220171
CAP_3	max_dwell_time	valence_t	0.29957463371676485	0.053929866025937995	42	False	small	True	0.35714285714285715	0.4849656045851726	50.0	10.121216546949478
CAP_3	max_dwell_time	arousal_t	0.3261913805522016	0.035012780611884786	42	True	medium	True	0.35714285714285715	0.4849656045851726	50.0	10.121216546949476
CAP_3	std_dwell_time	valence			42	False	large	True	0.0	0.0	4.684283117872137	1.667850283368099
CAP_3	std_dwell_time	arousal			42	False	large	True	0.0	0.0	3.8644786872179897	1.622298246220171
CAP_3	std_dwell_time	valence_t			42	False	large	True	0.0	0.0	50.0	10.121216546949478
CAP_3	std_dwell_time	arousal_t			42	False	large	True	0.0	0.0	50.0	10.121216546949476
CAP_3	total_dwell_time	valence	0.2995746337167649	0.053929866025937995	42	False	small	True	0.35714285714285715	0.4849656045851726	4.684283117872137	1.667850283368099
CAP_3	total_dwell_time	arousal	0.3261913805522016	0.035012780611884786	42	True	medium	True	0.35714285714285715	0.4849656045851726	3.8644786872179897	1.622298246220171
CAP_3	total_dwell_time	valence_t	0.29957463371676485	0.053929866025937995	42	False	small	True	0.35714285714285715	0.4849656045851726	50.0	10.121216546949478
CAP_3	total_dwell_time	arousal_t	0.3261913805522016	0.035012780611884786	42	True	medium	True	0.35714285714285715	0.4849656045851726	50.0	10.121216546949476
CAP_3	avg_dwell_time_sec	valence	0.2995746337167649	0.053929866025937995	42	False	small	True	0.5357142857142857	0.7274484068777589	4.684283117872137	1.667850283368099
CAP_3	avg_dwell_time_sec	arousal	0.3261913805522016	0.035012780611884786	42	True	medium	True	0.5357142857142857	0.7274484068777589	3.8644786872179897	1.622298246220171
CAP_3	avg_dwell_time_sec	valence_t	0.29957463371676474	0.05392986602593819	42	False	small	True	0.5357142857142857	0.7274484068777589	50.0	10.121216546949478
CAP_3	avg_dwell_time_sec	arousal_t	0.32619138055220154	0.03501278061188494	42	True	medium	True	0.5357142857142857	0.7274484068777589	50.0	10.121216546949476
CAP_3	transitions_out	valence			42	False	large	False	0.0	0.0	4.684283117872137	1.667850283368099
CAP_3	transitions_out	arousal			42	False	large	False	0.0	0.0	3.8644786872179897	1.622298246220171
CAP_3	transitions_out	valence_t			42	False	large	False	0.0	0.0	50.0	10.121216546949478
CAP_3	transitions_out	arousal_t			42	False	large	False	0.0	0.0	50.0	10.121216546949476
CAP_4	frequency_pct	valence			42	False	large	False	0.0	0.0	4.684283117872137	1.667850283368099
CAP_4	frequency_pct	arousal			42	False	large	False	0.0	0.0	3.8644786872179897	1.622298246220171
CAP_4	frequency_pct	valence_t			42	False	large	False	0.0	0.0	50.0	10.121216546949478
CAP_4	frequency_pct	arousal_t			42	False	large	False	0.0	0.0	50.0	10.121216546949476
CAP_4	avg_dwell_time	valence			42	False	large	True	0.0	0.0	4.684283117872137	1.667850283368099
CAP_4	avg_dwell_time	arousal			42	False	large	True	0.0	0.0	3.8644786872179897	1.622298246220171
CAP_4	avg_dwell_time	valence_t			42	False	large	True	0.0	0.0	50.0	10.121216546949478
CAP_4	avg_dwell_time	arousal_t			42	False	large	True	0.0	0.0	50.0	10.121216546949476
CAP_4	max_dwell_time	valence			42	False	large	True	0.0	0.0	4.684283117872137	1.667850283368099
CAP_4	max_dwell_time	arousal			42	False	large	True	0.0	0.0	3.8644786872179897	1.622298246220171
CAP_4	max_dwell_time	valence_t			42	False	large	True	0.0	0.0	50.0	10.121216546949478
CAP_4	max_dwell_time	arousal_t			42	False	large	True	0.0	0.0	50.0	10.121216546949476
CAP_4	std_dwell_time	valence			42	False	large	True	0.0	0.0	4.684283117872137	1.667850283368099
CAP_4	std_dwell_time	arousal			42	False	large	True	0.0	0.0	3.8644786872179897	1.622298246220171
CAP_4	std_dwell_time	valence_t			42	False	large	True	0.0	0.0	50.0	10.121216546949478
CAP_4	std_dwell_time	arousal_t			42	False	large	True	0.0	0.0	50.0	10.121216546949476
